IN LINKS          OUT LINK        ZCU Link
21  14100000 117  14100000 137    14100000
22  12900000 118  12900000 138    12900000
23  12700000 119  12700000 139    12700000
24  12500000 120  12500000 140    12500000
25  11f00000 121  11f00000 141    11f00000
26  11a00000 122  11a00000 142    11a00000
27  12300000 123  12300000 143    12300000
28  11700000 124  11700000 144    11700000
29  12700000 125  12700000 145    12700000
30  13500000 126  13500000 146    13500000
31  12700000 127  12700000 147    12700000
32  12500000 128  12500000 148    12500000
33  14d00000 129  14d00000 149    14d00000
34  12700000 130  12700000 150    12700000
35  10c00000 131  10c00000 151    10c00000
36  13700000 132  13700000 152    13700000
37  15d00000 133  15d00000 153    15d00000
38  13a00000 134  13a00000 154    13a00000
L2  588a1205 135  adc1402c 155    adc1402c 
 1  4a92f    136  4a92f    156    4a92f    
 2  12700000 137  12700000 157    12700000 
 3  10a00000 138  10a00000 158    10a00000 
 4  fe00000  139  fe00000  159    fe00000  
 5  13400000 140  13400000 160    13400000 
 6  10b00000 141  10b00000 161    10b00000 
 7  11b00000 142  11b00000 162    11b00000 
 8  10500000 143  10500000 163    10500000 
 9  10700000 144  10700000 164    10700000 
10  13100000 145  13100000 165    13100000 
11  12f00000 146  12f00000 166    12f00000 
12  11d00000 147  11d00000 167    11d00000 
13  13100000 148  13100000 168    13100000 
14  ff00000  149  ff00000  169    ff00000  
15  11600000 150  11600000 170    11600000 
16  12b00000 151  12b00000 171    12b00000 
17  10200000 152  10200000 172    10200000 
18  11f00000 153  11f00000 173    11f00000 
19  12b00000 154  12b00000 174    12b00000 
20  10f00000 155  10f00000 175    10f00000 
21  ff00000  156  ff00000  176    ff00000  
22  11d00000 157  11d00000 177    11d00000 
23  f600000  158  f600000  178    f600000  
24  11800000 159  11800000 179    11800000 
25  13200000 160  13200000 180    13200000 
26  13700000 161  13700000 181    13700000 
27  13200000 162  13200000 182    13200000 
28  12200000 163  12200000 183    12200000 
29  12800000 164  12800000 184    12800000 
30  11a00000 165  11a00000 185    11a00000 
31  fd00000  166  fd00000  186    fd00000  
32  12100000 167  12100000 187    12100000 
33  fe00000  168  fe00000  188    fe00000  
34  12e00000 169  12e00000 189    12e00000 
35  100000   170  100000   190    100000   
36  15300000 171  15300000 191    15300000 
37  100000   172  100000   192    100000   
38  11300000 173  11300000 193    11300000 
L3  588a1205 174  adc1403c 194    adc1403c
 1  43d19    175  43d19    195    43d19   
 2  14200000 176  14200000 196    14200000
 3  10e00000 177  10e00000 197    10e00000
 4  12e00000 178  12e00000 198    12e00000
 5  11300000 179  11300000 199    11300000
 6  13a00000 180  13a00000 200    13a00000
 7  14500000 181  14500000 201    14500000
 8  13800000 182  13800000 202    13800000
 9  13c00000 183  13c00000 203    13c00000
10  14f00000 184  14f00000 204    14f00000
11  12f00000 185  12f00000 205    12f00000
12  12d00000 186  12d00000 206    12d00000
13  11700000 187  11700000 207    11700000
14  12400000 188  12400000 208    12400000
15  12900000 189  12900000 209    12900000
16  14800000 190  14800000 210    14800000
17  11900000 191  11900000 211    11900000
18  12900000 192  12900000 212    12900000
19  12b00000 193  12b00000 213    12b00000
20  100000   194  100000   214    100000  
21  11f00000 195  11f00000 215    11f00000
22  11000000 196  11000000 216    11000000
23  11300000 197  11300000 217    11300000
24  12800000 198  12800000 218    12800000
25  10900000 199  10900000 219    10900000
26  13600000 200  13600000 220    13600000
27  13900000 201  13900000 221    13900000
28  12100000 202  12100000 222    12100000
29  12600000 203  12600000 223    12600000
30  12400000 204  12400000 224    12400000
31  12500000 205  12500000 225    12500000
32  12b00000 206  12b00000 226    12b00000
33  10d00000 207  10d00000 227    10d00000
34  13600000 208  13600000 228    13600000
35  13500000 209  13500000 229    13500000
36  10f00000 210  10f00000 230    10f00000
37  12100000 211  12100000 231    12100000
38  11c00000 212  11c00000 232    11c00000
L4  5a821285 213  adc1404c 233    adc1404c
 1  49d19    214  49d19    234    49d19   
 2  13000000 215  13000000 235    13000000
 3  14300000 216  14300000 236    14300000
 4  13200000 217  13200000 237    13200000
 5  15d00000 218  15d00000 238    15d00000
 6  12600000 219  12600000 239    12600000
 7  14900000 220  14900000 240    14900000
 8  14800000 221  14800000 241    14800000
 9  13b00000 222  13b00000 242    13b00000
10  13600000 223  13600000 243    13600000
11  14200000 224  14200000 244    14200000
12  12800000 225  12800000 245    12800000
13  14100000 226  14100000 246    14100000
14  14200000 227  14200000 247    14200000
15  12600000 228  12600000 248    12600000
16  14500000 229  14500000 249    14500000
17  16800000 230  16800000 250    16800000
18  15100000 231  15100000 251    15100000
19  11f00000 232  11f00000 252    11f00000
20  13b00000 233  13b00000 253    13b00000
21  13b00000 234  13b00000 254    13b00000
22  15600000 235  15600000 255    15600000
23  11f00000 236  11f00000 256    11f00000
24  12800000 237  12800000 257    12800000
25  13600000 238  13600000 258    13600000
26  15600000 239  15600000 259    15600000
27  13600000 240  13600000 260    13600000
28  13900000 241  13900000 261    13900000
29  12a00000 242  12a00000 262    12a00000
30  10000000 243  10000000 263    10000000
31  14d00000 244  14d00000 264    14d00000
32  12c00000 245  12c00000 265    12c00000
33  14500000 246  14500000 266    14500000
34  13b00000 247  13b00000 267    13b00000
35  12a00000 248  12a00000 268    12a00000
36  13900000 249  13900000 269    13900000
37  11200000 250  11200000 270    11200000
38  11600000 251  11600000 271    11600000
L5  5a821285 252  adc1405c 272    adc1405c      
 1  5552a    253  5552a    273    5552a         
 2  16200000 254  16200000 274    16200000      
 3  15000000 255  15000000 275    15000000      
 4  12200000 256  12200000 276    12200000      
 5  12e00000 257  12e00000 277    12e00000      
 6  13f00000 258  13f00000 278    13f00000      
 7  100000   259  100000   279    100000        
 8  14600000 260  14600000 280    14600000      
 9  12400000 261  12400000 281    12400000      
10  16300000 262  16300000 282    16300000      
11  14b00000 263  14b00000 283    14b00000      
12  13100000 264  13100000 284    13100000      
13  12e00000 265  12e00000 285    12e00000      
14  12f00000 266  12f00000 286    12f00000      
15  13200000 267  13200000 287    13200000      
16  14f00000 268  14f00000 288    14f00000      
17  14800000 269  14800000 289    14800000      
18  12d00000 270  12d00000 290    12d00000      
19  14700000 271  14700000 291    14700000      
20  13400000 272  13400000 292    13400000      
21  12f00000 273  12f00000 293    12f00000      
22  13e00000 274  13e00000 294    13e00000      
23  14a00000 275  14a00000 295    14a00000      
24  14100000 276  14100000 296    14100000      
25  13600000 277  13600000 297    13600000      
26  12200000 278  12200000 298    12200000      
27  14d00000 279  14d00000 299    14d00000      
28  13400000 280  13400000 300    13400000      
29  16100000 281  16100000 301    16100000      
30  11a00000 282  11a00000 302    11a00000      
31  11500000 283  11500000 303    11500000      
32  15d00000 284  15d00000 304    15d00000      
33  12200000 285  12200000 305    12200000      
34  12600000 286  12600000 306    12600000      
35  12d00000 287  12d00000 307    12d00000      
36  14c00000 288  14c00000 308    14c00000      
37  13a00000 289  13a00000 309    13a00000      
38  14000000 290  14000000 310    14000000      
             291  0        311    0       
